@line:51    Cycle @2.00: [Fetcher_Impl]	IF: PC=0x0
@line:90    Cycle @2.00: [Fetcher_Impl]	IF: BTB Miss PC=0x0
@line:182   Cycle @2.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x0
@line:64    Cycle @3.00: [Decoder]	ID: PC=0x0 Ins=0x513
@line:51    Cycle @3.00: [Fetcher_Impl]	IF: PC=0x4
@line:90    Cycle @3.00: [Fetcher_Impl]	IF: BTB Miss PC=0x4
@line:182   Cycle @3.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x4
@line:64    Cycle @4.00: [Decoder]	ID: PC=0x4 Ins=0x793
@line:124   Cycle @4.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @4.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @4.00: [Executor]	EX: Result=0x0
@line:51    Cycle @4.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @4.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @4.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @5.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:124   Cycle @5.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @5.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @5.00: [Executor]	EX: Result=0x0
@line:51    Cycle @5.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @5.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @5.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @6.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @6.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @6.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @6.00: [Executor]	EX: Result=0x65
@line:48    Cycle @6.00: [WB]	WB: x10 <= 0x0
@line:51    Cycle @6.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @6.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @6.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @7.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:166   Cycle @7.00: [Executor]	EX: Bypass rs1 from WB=0x0
@line:234   Cycle @7.00: [Executor]	EX: Bypass rs2 from MEM/WB=0x0
@line:14711 Cycle @7.00: [Executor]	EX: Result=0x0
@line:48    Cycle @7.00: [WB]	WB: x15 <= 0x0
@line:51    Cycle @7.00: [Fetcher_Impl]	IF: PC=0x14
@line:90    Cycle @7.00: [Fetcher_Impl]	IF: BTB Miss PC=0x14
@line:182   Cycle @7.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @8.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:166   Cycle @8.00: [Executor]	EX: Bypass rs1 from WB=0x0
@line:206   Cycle @8.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @8.00: [Executor]	EX: Result=0x1
@line:48    Cycle @8.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @8.00: [Fetcher_Impl]	IF: PC=0x18
@line:90    Cycle @8.00: [Fetcher_Impl]	IF: BTB Miss PC=0x18
@line:182   Cycle @8.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x18
@line:64    Cycle @9.00: [Decoder]	ID: PC=0x18 Ins=0x100073
@line:138   Cycle @9.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x1
@line:248   Cycle @9.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @9.00: [Executor]	EX: Result=0xffffff9c
@line:14939 Cycle @9.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @9.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @9.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @9.00: [WB]	WB: x10 <= 0x0
@line:51    Cycle @9.00: [Fetcher_Impl]	IF: PC=0x1c
@line:90    Cycle @9.00: [Fetcher_Impl]	IF: BTB Miss PC=0x1c
@line:182   Cycle @9.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x1c
@line:64    Cycle @10.00: [Decoder]	ID: PC=0x1c Ins=0x33
@line:124   Cycle @10.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @10.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @10.00: [Executor]	EX: Result=0x1
@line:48    Cycle @10.00: [WB]	WB: x15 <= 0x1
@line:51    Cycle @10.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @10.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @10.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @11.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:124   Cycle @11.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @11.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @11.00: [Executor]	EX: Result=0x0
@line:51    Cycle @11.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @11.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @11.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @12.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @12.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @12.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @12.00: [Executor]	EX: Result=0x65
@line:51    Cycle @12.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @12.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @12.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @13.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:124   Cycle @13.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @13.00: [Executor]	EX: Bypass rs2 from RegFile=0x1
@line:14711 Cycle @13.00: [Executor]	EX: Result=0x1
@line:51    Cycle @13.00: [Fetcher_Impl]	IF: PC=0x14
@line:83    Cycle @13.00: [Fetcher_Impl]	IF: BTB Hit PC=0x14 Target=0x8
@line:182   Cycle @13.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @14.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:124   Cycle @14.00: [Executor]	EX: Bypass rs1 from RegFile=0x1
@line:206   Cycle @14.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @14.00: [Executor]	EX: Result=0x2
@line:48    Cycle @14.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @14.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @14.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @14.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @15.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:138   Cycle @15.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x2
@line:248   Cycle @15.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @15.00: [Executor]	EX: Result=0xffffff9d
@line:14939 Cycle @15.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @15.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @15.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @15.00: [WB]	WB: x10 <= 0x1
@line:51    Cycle @15.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @15.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @15.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @16.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @16.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @16.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @16.00: [Executor]	EX: Result=0x65
@line:48    Cycle @16.00: [WB]	WB: x15 <= 0x2
@line:51    Cycle @16.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @16.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @16.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @17.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:124   Cycle @17.00: [Executor]	EX: Bypass rs1 from RegFile=0x1
@line:248   Cycle @17.00: [Executor]	EX: Bypass rs2 from WB=0x2
@line:14711 Cycle @17.00: [Executor]	EX: Result=0x3
@line:51    Cycle @17.00: [Fetcher_Impl]	IF: PC=0x14
@line:83    Cycle @17.00: [Fetcher_Impl]	IF: BTB Hit PC=0x14 Target=0x8
@line:182   Cycle @17.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @18.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:124   Cycle @18.00: [Executor]	EX: Bypass rs1 from RegFile=0x2
@line:206   Cycle @18.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @18.00: [Executor]	EX: Result=0x3
