00000029 // 41  (A[0])
000001c6 // 454 (A[1])
00000341 // 833 (A[2])
0000014f // 335 (A[3])
00000234 // 564 (A[4])
00000001 // 1   (A[5])
000000bb // 187 (A[6])
000003dd // 989 (A[7])
000002ed // 749 (A[8])
0000016d // 365 (A[9])
0000015e // 350 (A[10])
0000023c // 572 (A[11])
00000084 // 132 (A[12])
00000040 // 64  (A[13])
000003b5 // 949 (A[14])
00000099 // 153 (A[15])
00000248 // 584 (A[16])
000000d8 // 216 (A[17])
00000325 // 805 (A[18])
0000008c // 140 (A[19])
0000026d // 621 (A[20])
000000d2 // 210 (A[21])
00000006 // 6   (A[22])
0000023c // 572 (A[23])
000003a3 // 931 (A[24])
00000153 // 339 (A[25])
0000037a // 890 (A[26])
00000251 // 593 (A[27])
00000188 // 392 (A[28])
00000382 // 898 (A[29])
000002b6 // 694 (A[30])
000000e4 // 228 (A[31])
000003c1 // 961 (A[32])
0000000c // 12  (A[33])
0000006e // 110 (A[34])
00000373 // 883 (A[35])
00000074 // 116 (A[36])
000002ee // 750 (A[37])
00000128 // 296 (A[38])
00000286 // 646 (A[39])
000001aa // 426 (A[40])
000001f4 // 500 (A[41])
0000013a // 314 (A[42])
000001b4 // 436 (A[43])
00000293 // 659 (A[44])
000002bd // 701 (A[45])
00000306 // 774 (A[46])
0000032c // 812 (A[47])
0000013f // 319 (A[48])
000003d5 // 981 (A[49])
000002a6 // 678 (A[50])
00000096 // 150 (A[51])
0000036b // 875 (A[52])
000002b8 // 696 (A[53])
00000178 // 376 (A[54])
00000234 // 564 (A[55])
000001da // 474 (A[56])
00000110 // 272 (A[57])
000003aa // 938 (A[58])
00000102 // 258 (A[59])
0000021b // 539 (A[60])
00000287 // 647 (A[61])
00000239 // 569 (A[62])
000001fd // 509 (A[63])
000000cb // 203 (A[64])
00000058 // 88  (A[65])
00000118 // 280 (A[66])
000002bf // 703 (A[67])
000002f7 // 759 (A[68])
0000029d // 669 (A[69])
0000025e // 606 (A[70])
00000177 // 375 (A[71])
000001ff // 511 (A[72])
00000227 // 551 (A[73])
00000291 // 657 (A[74])
000003a8 // 936 (A[75])
000000c3 // 195 (A[76])
00000250 // 592 (A[77])
00000051 // 81  (A[78])
00000239 // 569 (A[79])
0000010b // 267 (A[80])
000003b8 // 952 (A[81])
000000e5 // 229 (A[82])
00000320 // 800 (A[83])
00000151 // 337 (A[84])
00000248 // 584 (A[85])
000003b0 // 944 (A[86])
00000283 // 643 (A[87])
00000386 // 902 (A[88])
00000170 // 368 (A[89])
000000f1 // 241 (A[90])
000001e9 // 489 (A[91])
00000391 // 913 (A[92])
00000148 // 328 (A[93])
0000033a // 826 (A[94])
00000139 // 313 (A[95])
000003a5 // 933 (A[96])
00000250 // 592 (A[97])
000003d9 // 985 (A[98])
00000184 // 388 (A[99]) --- A数组结束 ---
000000c3 // 195 (B[0])  --- B数组开始 ---
0000021f // 543 (B[1])
000003c0 // 960 (B[2])
00000289 // 649 (B[3])
00000236 // 566 (B[4])
000003d3 // 979 (B[5])
0000015e // 350 (B[6])
000003e5 // 997 (B[7])
00000289 // 649 (B[8])
0000032e // 814 (B[9])
00000291 // 657 (B[10])
0000004f // 79  (B[11])
000000b5 // 181 (B[12])
000000d0 // 208 (B[13])
0000006f // 111 (B[14])
000003e6 // 998 (B[15])
0000035b // 859 (B[16])
00000275 // 629 (B[17])
00000041 // 65  (B[18])
0000034f // 847 (B[19])
00000120 // 288 (B[20])
000002c0 // 704 (B[21])
0000015d // 349 (B[22])
000003e5 // 997 (B[23])
0000008d // 141 (B[24])
000000fd // 253 (B[25])
00000389 // 905 (B[26])
000002cb // 715 (B[27])
00000376 // 886 (B[28])
000001ae // 430 (B[29])
00000108 // 264 (B[30])
0000019f // 415 (B[31])
00000240 // 576 (B[32])
