00000029 // 41   (A[0])
00000341 // 833  (A[1])
00000234 // 564  (A[2])
000000bb // 187  (A[3])
000002ed // 749  (A[4])
0000015e // 350  (A[5])
00000084 // 132  (A[6])
000003b5 // 949  (A[7])
00000248 // 584  (A[8])
00000325 // 805  (A[9])
0000026d // 621  (A[10])
00000006 // 6    (A[11])
000003a3 // 931  (A[12])
0000037a // 890  (A[13])
00000188 // 392  (A[14])
000002b6 // 694  (A[15])
000003c1 // 961  (A[16])
0000006e // 110  (A[17])
00000074 // 116  (A[18])
00000128 // 296  (A[19])
000001aa // 426  (A[20])
0000013a // 314  (A[21])
00000293 // 659  (A[22])
00000306 // 774  (A[23])
0000013f // 319  (A[24])
000002a6 // 678  (A[25])
0000036b // 875  (A[26])
00000178 // 376  (A[27])
000001da // 474  (A[28])
000003aa // 938  (A[29])
0000021b // 539  (A[30])
00000239 // 569  (A[31])
000000cb // 203  (A[32])
00000118 // 280  (A[33])
000002f7 // 759  (A[34])
0000025e // 606  (A[35])
000001ff // 511  (A[36])
00000291 // 657  (A[37])
000000c3 // 195  (A[38])
00000051 // 81   (A[39])
0000010b // 267  (A[40])
000000e5 // 229  (A[41])
00000151 // 337  (A[42])
000003b0 // 944  (A[43])
00000386 // 902  (A[44])
000000f1 // 241  (A[45])
00000391 // 913  (A[46])
0000033a // 826  (A[47])
000003a5 // 933  (A[48])
000003d9 // 985  (A[49])
000000c3 // 195  (A[50])
000003c0 // 960  (A[51])
00000236 // 566  (A[52])
0000015e // 350  (A[53])
00000289 // 649  (A[54])
00000291 // 657  (A[55])
000000b5 // 181  (A[56])
0000006f // 111  (A[57])
0000035b // 859  (A[58])
00000041 // 65   (A[59])
00000120 // 288  (A[60])
0000015d // 349  (A[61])
0000008d // 141  (A[62])
00000389 // 905  (A[63])
00000376 // 886  (A[64])
00000108 // 264  (A[65])
00000240 // 576  (A[66])
000003d3 // 979  (A[67])
000002f9 // 761  (A[68])
000000f1 // 241  (A[69])
000001de // 478  (A[70])
000001f3 // 499  (A[71])
00000193 // 403  (A[72])
000000de // 222  (A[73])
000001bc // 444  (A[74])
000002d1 // 721  (A[75])
000002a4 // 676  (A[76])
0000013d // 317  (A[77])
000000e0 // 224  (A[78])
000003a9 // 937  (A[79])
00000120 // 288  (A[80])
00000077 // 119  (A[81])
